競馬場ID,国名ID,国名,競馬場名,競馬場名詳細
ZN07,ZN,,AALBORG,AALBORG
ZH01,ZH,,AARAU,AARAU
0810,FR,FR,ABBEVILLE,ABBEVILLE
ZF95,ZF,,ABU DHABI,ABU DHABI
ZT01,ZT,,ADANA,ADANA
ZF07,ZF,,AFRIQUE DU SUD,AFRIQUE DU SUD
0580,FR,FR,AGEN,AGEN-LA-GARENNE
0301,FR,FR,AGON-COUTAINVILLE,AGON-COUTAINVILLE
ZU66,ZU,,AIKEN,AIKEN
ZG01,ZG,,AINTREE,AINTREE
0501,FR,FR,AIRE-SUR-L'ADOUR,AIRE-SUR-L'ADOUR
0601,FR,FR,AIX-EN-PROVENCE,AIX-EN-PROVENCE
0701,FR,FR,AIX-LES-BAINS,AIX-LES-BAINS
2051,FR,FR,AJACCIO,AJACCIO
ZF06,ZF,,AL ASAYL,AL ASAYL
ZF87,ZF,,ALAIN RACESOURSE,ALAIN RACESOURSE
ZL20,ZL,,ALBENGA,ALBENGA
0302,FR,FR,ALENCON,ALENCON
zk03,zk,,almaty,almaty
0801,FR,FR,AMIENS,AMIENS
0201,FR,FR,ANGERS,ANGERS
0254,FR,FR,ANGERS MIDI,ANGERS MIDI
0502,FR,FR,ANGOULEME,ANGOULEME
ZU01,ZU,,AQUEDUCT,AQUEDUCT
0303,FR,FR,ARGENTAN,ARGENTAN
0387,FR,FR,ARGENTAN MIDI,ARGENTAN MIDI
ZSA4,ZS,,ARGENTINO DE PALERMO,ARGENTINO DE PALERMO
ZN09,ZN,,ARHUS,ARHUS
ZF21,ZF,,ARLINGTON (Afr. du Sud),ARLINGTON (Afr. du Sud)
ZU02,ZU,,ARLINGTON PARK,ARLINGTON PARK
ZH05,ZH,,AROSA,AROSA
0802,FR,FR,ARRAS,ARRAS
ZG02,ZG,GB,ASCOT,ASCOT
ZA10,ZA,,ASCOT (AUSTRALIE),ASCOT (AUSTRALIE)
ZP02,ZP,,ATHENES,ATHENES
ZU03,ZU,,ATLANTA,ATLANTA
ZU04,ZU,,ATLANTIC CITY,ATLANTIC CITY
0702,FR,FR,AUBIGNY-SUR-NERE,AUBIGNY-SUR-NERE
0584,FR,FR,AUCH,AUCH
2061,FR,FR,AULLENE,AULLENE
0503,FR,FR,AURILLAC,AURILLAC
0006,FR,FR,AUTEUIL,AUTEUIL
0036,FR,FR,AUTEUIL-MIDI,AUTEUIL-MIDI
ZH12,ZH,,AVENCHES,AVENCHES
ZH13,ZH,,AVENCHES SOIR (Suisse),AVENCHES SOIR (Suisse)
0602,FR,FR,AVIGNON,AVIGNON
0304,FR,FR,AVRANCHES,AVRANCHES
ZG03,ZG,,AYR,AYR
ZD23,ZD,,BAD DOBERAN,BAD DOBERAN
ZD01,ZD,,BADEN-BADEN,BADEN-BADEN
ZD27,ZD,,BAD-HARZBURG,BAD-HARZBURG
0504,FR,FR,BAGNERES DE LUCHON,BAGNERES DE LUCHON
0305,FR,FR,BAGNOLES DE L'ORNE,BAGNOLES DE L'ORNE
ZSBA,ZS,,BAHREIN,BAHREIN
ZH10,ZH,,BALE SCHANZLI,BALE SCHANZLI
ZI25,ZI,,BALLINROBE,BALLINROBE
ZG04,ZG,,BANGOR,BANGOR
0505,FR,FR,BARBEZIEUX,BARBEZIEUX
ZG05,ZG,,BATH,BATH
ZU05,ZU,,BAY MEADOWS,BAY MEADOWS
0306,FR,FR,BAYEUX,BAYEUX
0558,FR,FR,BDX BOUSCAT MIDI,BDX BOUSCAT MIDI
0506,FR,FR,BEAUMONT,BEAUMONT DE LOMAGNE
0202,FR,FR,BEAUMONT-SUR-SARTHE,BEAUMONT-SUR-SARTHE
0203,FR,FR,BEAUPREAU,BEAUPREAU
ZYU1,ZY,,BELGRADE,BELGRADE
ZI28,ZI,,BELLEWSTOWN,BELLEWSTOWN
ZU06,ZU,,BELMONT,BELMONT
ZA19,ZA,,BENDIGO (AUS),BENDIGO (AUS)
0803,FR,FR,BERCK-SUR-MER,BERCK-SUR-MER
0401,FR,FR,BERNAY,BERNAY
ZG06,ZG,,BEVERLEY,BEVERLEY
0507,FR,FR,BIARRITZ-BAYONNE,BIARRITZ-BAYONNE
2052,FR,FR,BIGUGLIA,BIGUGLIA
ZD30,ZD,,BILLIGHEIM,BILLIGHEIM
0101,FR,FR,BLAIN,BLAIN BOUVRON LE GAVRE
ZD28,ZD,,BLIESKASTEL,BLIESKASTEL
ZN08,ZN,,BLOMMEROD,BLOMMEROD
ZB01,ZB,,BOITSFORT,BOITSFORT
0603,FR,FR,BOLLENE,BOLLENE
0581,FR,FR,BDX LE BOUSCAT,BORDEAUX LE BOUSCAT
0508,FR,FR,BORDEAUX LE BOUSCAT (ex),BORDEAUX LE BOUSCAT (ex)
0624,FR,FR,BORELY MIDI,BORELY MIDI
0102,FR,FR,BOUGUENAIS,BOUGUENAIS
0703,FR,FR,BOURBON-LANCY,BOURBON-LANCY
0103,FR,FR,BOUVRON,BOUVRON
ZQ03,ZQ,,BRATISLAVA (SLOVAQUIE),BRATISLAVA (SLOVAQUIE)
0307,FR,FR,BREHAL,BREHAL
ZD02,ZD,,BREME,BREME
ZG07,ZG,,BRIGHTON,BRIGHTON
ZN11,ZN,,BRO PARK,BRO PARK
ZQ95,ZQ,,BUDAPEST,BUDAPEST
ZT04,ZT,,BURSA,BURSA
ZU69,ZU,,BUTLER,BUTLER
0308,FR,FR,CABOURG,CABOURG
0399,FR,FR,CAEN,CAEN
0694,FR,FR,CAGNES-MIDI,CAGNES-MIDI
0017,FR,FR,CAGNES SUR MER (FG),CAGNES SUR MER (FG)
0604,FR,FR,CAGNES-SUR-MER,CAGNES-SUR-MER
0804,FR,FR,CALAIS,CALAIS
ZU07,ZU,,CALDER,CALDER
ZU71,ZU,,CAMDEN,CAMDEN
0104,FR,FR,CAMPBON,CAMPBON
