ID,Horse_name,b,age,c_s,birthday,color,sex,Trainer,Owner,Owner_p,Sire,Dam,Damsire,Breeder,Standing,Races_Count,LIFETIME RECORD,RUNS,WINS,2NDS,3RDS,WINNINGS,EARNINGS,URL,overseaformrecords_URL,scrape_date
11,RUN RUN COOL,AUS,5,Brown / Gelding,,Brown,Gelding,F C Lor,"Tang Ming, James Tang Sau Yip, Tang Chak Man & Tang Fong Ki",,Written Tycoon,Golden Penny,Blevic,,,29,3-3-5-29,29,3,3,5,,"$5,024,050",https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2020_E322,https://racing.hkjc.com/racing/content/english/pp_formsheet/fse_E322.pdf,2023/06/30 18:52
21,Date,Date_L,レース名,競馬場略称,馬場,コース,距離,馬場状態,レース格,着順,調教師,騎手,着差,斤量,タイム,補助馬具
22,23/06/10,https://racing.hkjc.com/racing/information/English/Racing/LocalResults.aspx?RaceDate=2023/06/10&Racecourse=ST&RaceNo=3,TUEN MUN PUBLIC RIDING SCHOOL HANDICAP,ST,Turf,"""C""",1000,G,3,06,F C Lor,H Bentley,5-1/4,135,0.56.36,PC
31,競馬場コード,競馬場,国名,レース日付,Date_L,Video,Sectional,レース名,レース格,レースNo,レース他,レース名省略,出走条件（性別）,馬場の種類,障害数,障害レース確認,出走条件（クラス）,出走条件（他）,出走条件（年齢）,距離,コース形態,コース詳細,馬場状態,総賞金,着賞金,通過タイム01,通過タイム02,通過タイム03,通過タイム04,通過タイム05,finishタイム,レースSectionalタイム01,レースSectionalタイム02,レースSectionalタイム03,レースSectionalタイム04,レースSectionalタイム05,レースSectionalタイム06,レースSectionalタイム内訳01,レースSectionalタイム内訳02,レースSectionalタイム内訳03,レースSectionalタイム内訳04,馬別Sectionalタイム01,馬別Sectionalタイム02,馬別Sectionalタイム03,馬別Sectionalタイム04,馬別Sectionalタイム05,馬別Sectionalタイム06,馬別Sectionalタイム内訳01,馬別Sectionalタイム内訳02,馬別Sectionalタイム内訳03,馬別Sectionalタイム内訳04,通過順位01,通過順位02,通過順位03,通過順位04,通過順位05,入線順位,確定順位,異常区分,同着,着変更,馬番号,ゲート番号,着差1,着差2,馬名,馬ID,生産国,オッズ,馬齢,馬体重,斤量,斤量特記1,斤量特記2,補助馬具,調教師,騎手,毛色,性別,父名,母名,母父名,出走頭数,タイム,優勝馬オーナー,優勝馬生産者,コメント
32,ST,Sha Tin,HK,2023/06/10,https://racing.hkjc.com/racing/information/English/Racing/LocalResults.aspx?RaceDate=2023/06/10&Racecourse=ST&RaceNo=3,https://racing.hkjc.com/racing/video/play.asp?type=replay-full&date=20230610&no=03&lang=eng,https://racing.hkjc.com/racing/information/English/Racing/DisplaySectionalTime.aspx?RaceDate=10/06/2023&RaceNo=3,TUEN MUN PUBLIC RIDING SCHOOL HANDICAP,Class 3,RACE 3,,,,TURF,,,,,,1000M,,,GOOD,"HK$ 1,725,000",,12.79,33.22,,,,55.52,12.79,20.43,22.30,,,,10.04,10.39,10.73,11.57,13.07,20.23,22.22,,,,09.88,10.35,10.65,11.57,4,2,,,,1,1,,,,5,4,-,,DREAM WINNER,H308,,1.1,,1280,119,,,,F C Lor,C Y Ho,,,,,,8,0:55.52,,,"BEAUTY TYCOON jumped awkwardly and made contact with RED ELEGANCE.
VALIANT ELEGANCE and METRO WARRIOR also jumped awkwardly.
RUN RUN COOL jumped only fairly.
RED ELEGANCE lay out when placed under pressure over the final 400 Metres.
Near the 250 Metres, VALIANT ELEGANCE raced tight between RUN RUN COOL and PLEASANT ENDEAVOR, both of which shifted ground slightly. VALIANT ELEGANCE was then shifted to the inside of PLEASANT ENDEAVOR to secure clear running near the 150 Metres.
A veterinary inspection of RUN RUN COOL, BEAUTY TYCOON and RED ELEGANCE immediately following the race did not show any significant findings.
DREAM WINNER and SUPER AXIOM were sent for sampling."
32,ST,Sha Tin,HK,2023/06/10,https://racing.hkjc.com/racing/information/English/Racing/LocalResults.aspx?RaceDate=2023/06/10&Racecourse=ST&RaceNo=3,https://racing.hkjc.com/racing/video/play.asp?type=replay-full&date=20230610&no=03&lang=eng,https://racing.hkjc.com/racing/information/English/Racing/DisplaySectionalTime.aspx?RaceDate=10/06/2023&RaceNo=3,TUEN MUN PUBLIC RIDING SCHOOL HANDICAP,Class 3,RACE 3,,,,TURF,,,,,,1000M,,,GOOD,"HK$ 1,725,000",,12.79,33.22,,,,55.52,12.79,20.43,22.30,,,,10.04,10.39,10.73,11.57,12.79,20.43,22.71,,,,10.04,10.39,10.73,11.98,1,1,,,,2,2,,,,6,8,2-1/2,,SUPER AXIOM,E105,,23,,1249,118,,,,Y S Tsui,M Chadwick,,,,,,8,0:55.93,,,"BEAUTY TYCOON jumped awkwardly and made contact with RED ELEGANCE.
VALIANT ELEGANCE and METRO WARRIOR also jumped awkwardly.
RUN RUN COOL jumped only fairly.
RED ELEGANCE lay out when placed under pressure over the final 400 Metres.
Near the 250 Metres, VALIANT ELEGANCE raced tight between RUN RUN COOL and PLEASANT ENDEAVOR, both of which shifted ground slightly. VALIANT ELEGANCE was then shifted to the inside of PLEASANT ENDEAVOR to secure clear running near the 150 Metres.
A veterinary inspection of RUN RUN COOL, BEAUTY TYCOON and RED ELEGANCE immediately following the race did not show any significant findings.
DREAM WINNER and SUPER AXIOM were sent for sampling."
32,ST,Sha Tin,HK,2023/06/10,https://racing.hkjc.com/racing/information/English/Racing/LocalResults.aspx?RaceDate=2023/06/10&Racecourse=ST&RaceNo=3,https://racing.hkjc.com/racing/video/play.asp?type=replay-full&date=20230610&no=03&lang=eng,https://racing.hkjc.com/racing/information/English/Racing/DisplaySectionalTime.aspx?RaceDate=10/06/2023&RaceNo=3,TUEN MUN PUBLIC RIDING SCHOOL HANDICAP,Class 3,RACE 3,,,,TURF,,,,,,1000M,,,GOOD,"HK$ 1,725,000",,12.79,33.22,,,,55.52,12.79,20.43,22.30,,,,10.04,10.39,10.73,11.57,12.95,20.63,22.49,,,,10.12,10.51,10.73,11.76,2,4,,,,3,3,,,,4,3,3-1/2,,METRO WARRIOR,D387,,28,,1196,120,,,,D A Hayes,Y L Chung,,,,,,8,0:56.07,,,"BEAUTY TYCOON jumped awkwardly and made contact with RED ELEGANCE.
VALIANT ELEGANCE and METRO WARRIOR also jumped awkwardly.
RUN RUN COOL jumped only fairly.
RED ELEGANCE lay out when placed under pressure over the final 400 Metres.
Near the 250 Metres, VALIANT ELEGANCE raced tight between RUN RUN COOL and PLEASANT ENDEAVOR, both of which shifted ground slightly. VALIANT ELEGANCE was then shifted to the inside of PLEASANT ENDEAVOR to secure clear running near the 150 Metres.
A veterinary inspection of RUN RUN COOL, BEAUTY TYCOON and RED ELEGANCE immediately following the race did not show any significant findings.
DREAM WINNER and SUPER AXIOM were sent for sampling."
32,ST,Sha Tin,HK,2023/06/10,https://racing.hkjc.com/racing/information/English/Racing/LocalResults.aspx?RaceDate=2023/06/10&Racecourse=ST&RaceNo=3,https://racing.hkjc.com/racing/video/play.asp?type=replay-full&date=20230610&no=03&lang=eng,https://racing.hkjc.com/racing/information/English/Racing/DisplaySectionalTime.aspx?RaceDate=10/06/2023&RaceNo=3,TUEN MUN PUBLIC RIDING SCHOOL HANDICAP,Class 3,RACE 3,,,,TURF,,,,,,1000M,,,GOOD,"HK$ 1,725,000",,12.79,33.22,,,,55.52,12.79,20.43,22.30,,,,10.04,10.39,10.73,11.57,13.03,20.43,22.64,,,,10.04,10.39,10.81,11.83,3,3,,,,4,4,,,,2,6,3-1/2,,PLEASANT ENDEAVOR,E114,,16,,1194,124,,,,P F Yiu,E C W Wong,,,,,,8,0:56.10,,,"BEAUTY TYCOON jumped awkwardly and made contact with RED ELEGANCE.
VALIANT ELEGANCE and METRO WARRIOR also jumped awkwardly.
RUN RUN COOL jumped only fairly.
RED ELEGANCE lay out when placed under pressure over the final 400 Metres.
Near the 250 Metres, VALIANT ELEGANCE raced tight between RUN RUN COOL and PLEASANT ENDEAVOR, both of which shifted ground slightly. VALIANT ELEGANCE was then shifted to the inside of PLEASANT ENDEAVOR to secure clear running near the 150 Metres.
A veterinary inspection of RUN RUN COOL, BEAUTY TYCOON and RED ELEGANCE immediately following the race did not show any significant findings.
DREAM WINNER and SUPER AXIOM were sent for sampling."
32,ST,Sha Tin,HK,2023/06/10,https://racing.hkjc.com/racing/information/English/Racing/LocalResults.aspx?RaceDate=2023/06/10&Racecourse=ST&RaceNo=3,https://racing.hkjc.com/racing/video/play.asp?type=replay-full&date=20230610&no=03&lang=eng,https://racing.hkjc.com/racing/information/English/Racing/DisplaySectionalTime.aspx?RaceDate=10/06/2023&RaceNo=3,TUEN MUN PUBLIC RIDING SCHOOL HANDICAP,Class 3,RACE 3,,,,TURF,,,,,,1000M,,,GOOD,"HK$ 1,725,000",,12.79,33.22,,,,55.52,12.79,20.43,22.30,,,,10.04,10.39,10.73,11.57,13.27,20.43,22.48,,,,10.04,10.39,10.77,11.71,7,7,,,,5,5,,,,7,5,4-1/4,,VALIANT ELEGANCE,D285,,54,,1134,118,,,,D J Whyte,L Hewitson,,,,,,8,0:56.18,,,"BEAUTY TYCOON jumped awkwardly and made contact with RED ELEGANCE.
VALIANT ELEGANCE and METRO WARRIOR also jumped awkwardly.
RUN RUN COOL jumped only fairly.
RED ELEGANCE lay out when placed under pressure over the final 400 Metres.
Near the 250 Metres, VALIANT ELEGANCE raced tight between RUN RUN COOL and PLEASANT ENDEAVOR, both of which shifted ground slightly. VALIANT ELEGANCE was then shifted to the inside of PLEASANT ENDEAVOR to secure clear running near the 150 Metres.
A veterinary inspection of RUN RUN COOL, BEAUTY TYCOON and RED ELEGANCE immediately following the race did not show any significant findings.
DREAM WINNER and SUPER AXIOM were sent for sampling."
32,ST,Sha Tin,HK,2023/06/10,https://racing.hkjc.com/racing/information/English/Racing/LocalResults.aspx?RaceDate=2023/06/10&Racecourse=ST&RaceNo=3,https://racing.hkjc.com/racing/video/play.asp?type=replay-full&date=20230610&no=03&lang=eng,https://racing.hkjc.com/racing/information/English/Racing/DisplaySectionalTime.aspx?RaceDate=10/06/2023&RaceNo=3,TUEN MUN PUBLIC RIDING SCHOOL HANDICAP,Class 3,RACE 3,,,,TURF,,,,,,1000M,,,GOOD,"HK$ 1,725,000",,12.79,33.22,,,,55.52,12.79,20.43,22.30,,,,10.04,10.39,10.73,11.57,13.23,20.43,22.70,,,,10.04,10.39,10.81,11.89,5,5,,,,6,6,,,,1,7,5-1/4,,RUN RUN COOL,E322,,23,,1216,135,,,,F C Lor,H Bentley,,,,,,8,0:56.36,,,"BEAUTY TYCOON jumped awkwardly and made contact with RED ELEGANCE.
VALIANT ELEGANCE and METRO WARRIOR also jumped awkwardly.
RUN RUN COOL jumped only fairly.
RED ELEGANCE lay out when placed under pressure over the final 400 Metres.
Near the 250 Metres, VALIANT ELEGANCE raced tight between RUN RUN COOL and PLEASANT ENDEAVOR, both of which shifted ground slightly. VALIANT ELEGANCE was then shifted to the inside of PLEASANT ENDEAVOR to secure clear running near the 150 Metres.
A veterinary inspection of RUN RUN COOL, BEAUTY TYCOON and RED ELEGANCE immediately following the race did not show any significant findings.
DREAM WINNER and SUPER AXIOM were sent for sampling."
32,ST,Sha Tin,HK,2023/06/10,https://racing.hkjc.com/racing/information/English/Racing/LocalResults.aspx?RaceDate=2023/06/10&Racecourse=ST&RaceNo=3,https://racing.hkjc.com/racing/video/play.asp?type=replay-full&date=20230610&no=03&lang=eng,https://racing.hkjc.com/racing/information/English/Racing/DisplaySectionalTime.aspx?RaceDate=10/06/2023&RaceNo=3,TUEN MUN PUBLIC RIDING SCHOOL HANDICAP,Class 3,RACE 3,,,,TURF,,,,,,1000M,,,GOOD,"HK$ 1,725,000",,12.79,33.22,,,,55.52,12.79,20.43,22.30,,,,10.04,10.39,10.73,11.57,13.31,20.39,22.66,,,,09.96,10.43,10.73,11.93,8,6,,,,7,7,,,,8,1,5-1/4,,RED ELEGANCE,H241,,8.3,,1100,117,,,,J Richards,K Teetan,,,,,,8,0:56.36,,,"BEAUTY TYCOON jumped awkwardly and made contact with RED ELEGANCE.
VALIANT ELEGANCE and METRO WARRIOR also jumped awkwardly.
RUN RUN COOL jumped only fairly.
RED ELEGANCE lay out when placed under pressure over the final 400 Metres.
Near the 250 Metres, VALIANT ELEGANCE raced tight between RUN RUN COOL and PLEASANT ENDEAVOR, both of which shifted ground slightly. VALIANT ELEGANCE was then shifted to the inside of PLEASANT ENDEAVOR to secure clear running near the 150 Metres.
A veterinary inspection of RUN RUN COOL, BEAUTY TYCOON and RED ELEGANCE immediately following the race did not show any significant findings.
DREAM WINNER and SUPER AXIOM were sent for sampling."
32,ST,Sha Tin,HK,2023/06/10,https://racing.hkjc.com/racing/information/English/Racing/LocalResults.aspx?RaceDate=2023/06/10&Racecourse=ST&RaceNo=3,https://racing.hkjc.com/racing/video/play.asp?type=replay-full&date=20230610&no=03&lang=eng,https://racing.hkjc.com/racing/information/English/Racing/DisplaySectionalTime.aspx?RaceDate=10/06/2023&RaceNo=3,TUEN MUN PUBLIC RIDING SCHOOL HANDICAP,Class 3,RACE 3,,,,TURF,,,,,,1000M,,,GOOD,"HK$ 1,725,000",,12.79,33.22,,,,55.52,12.79,20.43,22.30,,,,10.04,10.39,10.73,11.57,13.27,20.51,22.91,,,,10.00,10.51,10.89,12.02,6,8,,,,8,8,,,,3,2,7-1/4,,BEAUTY TYCOON,G329,,28,,1028,130,,,,J Size,Z Purton,,,,,,8,0:56.69,,,"BEAUTY TYCOON jumped awkwardly and made contact with RED ELEGANCE.
VALIANT ELEGANCE and METRO WARRIOR also jumped awkwardly.
RUN RUN COOL jumped only fairly.
RED ELEGANCE lay out when placed under pressure over the final 400 Metres.
Near the 250 Metres, VALIANT ELEGANCE raced tight between RUN RUN COOL and PLEASANT ENDEAVOR, both of which shifted ground slightly. VALIANT ELEGANCE was then shifted to the inside of PLEASANT ENDEAVOR to secure clear running near the 150 Metres.
A veterinary inspection of RUN RUN COOL, BEAUTY TYCOON and RED ELEGANCE immediately following the race did not show any significant findings.
DREAM WINNER and SUPER AXIOM were sent for sampling."
21,Date,Date_L,レース名,競馬場略称,馬場,コース,距離,馬場状態,レース格,着順,調教師,騎手,着差,斤量,タイム,補助馬具
22,23/05/28,https://racing.hkjc.com/racing/information/English/Racing/LocalResults.aspx?RaceDate=2023/05/28&Racecourse=ST&RaceNo=4,RIVER VERDON HANDICAP,ST,Turf,"""A""",1000,G,2,03,F C Lor,H Bentley,1-1/4,118,0.56.26,PC
