競馬場ID,国名ID,国名,エリア,競馬場ID
ADBY,AUS,AUS,NSW,Adaminaby
AD R,AUS,AUS,NT,Adelaide River
ABNY,AUS,AUS,WA,Albany
ALB ,AUS,AUS,NSW,Albury
ALEX,AUS,AUS,VIC,Alexandra
ALMA,AUS,AUS,QLD,Almaden
ALPH,AUS,AUS,QLD,Alpha
BDST,AUS,AUS,QLD,Beaudesert
GCST,AUS,AUS,QLD,Gold Coast
ARMC,AUS,AUS,QLD,Aramac
ARAT,AUS,AUS,VIC,Ararat
ARDL,AUS,AUS,NSW,Ardlethan
ARMD,AUS,AUS,NSW,Armidale
ARLH,AUS,AUS,QLD,Arrilalah
ASCT,AUS,AUS,WA,Ascot
ONLW,AUS,AUS,WA,Ashburton
ATHN,AUS,AUS,QLD,Atherton
AUGA,AUS,AUS,QLD,Augathella
AVOC,AUS,AUS,VIC,Avoca
BKVA,AUS,AUS,SA,Balaklava
BLNA,AUS,AUS,NSW,Ballina
BALN,AUS,AUS,VIC,Balnarring
BALR,AUS,AUS,NSW,Balranald
BDNE,AUS,AUS,NSW,Baradine
BARC,AUS,AUS,QLD,Barcaldine
BRBA,AUS,AUS,NSW,Barraba
B CK,AUS,AUS,NT,Barrow Creek
BATH,AUS,AUS,NSW,Bathurst
BEAU,AUS,AUS,NSW,Beaumont Newcastle
BEDG,AUS,AUS,NSW,Bedgerabong
BDRE,AUS,AUS,QLD,Bedourie
BELL,AUS,AUS,QLD,Bell
BLMT,AUS,AUS,WA,Belmont
BLLA,AUS,AUS,VIC,Benalla
BDGO,AUS,AUS,VIC,Bendigo
BERI,AUS,AUS,SA,Berri
BERR,AUS,AUS,NSW,Berrigan
BETO,AUS,AUS,QLD,Betoota
BEV ,AUS,AUS,WA,Beverley
BGRA,AUS,AUS,NSW,Bingara
BINN,AUS,AUS,NSW,Binnaway
BIRD,AUS,AUS,QLD,Birdsville
BKLL,AUS,AUS,QLD,Blackall
BLUF,AUS,AUS,QLD,Bluff
BOMB,AUS,AUS,NSW,Bombala
BONG,AUS,AUS,NSW,Bong Bong
