競馬場コード,競馬場,国名,レース日付,レース名,レース格,レース他,レース名省略,出走条件（性別）,馬場の種類,馬場の種類（英愛）,出走条件（クラス）,出走条件（他）,出走条件（年齢）,距離,コース形態,コース詳細,馬場状態,障害数,障害レース確認,着賞金,並び順位,確定順位,異常区分,同着,着変更,ゲート番号,着差1,着差2,馬名,生産国,オッズ,馬齢,斤量,斤量特記1,斤量特記2,補助馬具,調教師,騎手,毛色,性別,父名,母名,母父名,出走頭数,優勝馬タイム,優勝馬オーナー,優勝馬生産者,コメント
46,Pontefract,,2025/07/27,British EBF Stallion Studs Maiden Stakes (GBB Race),,'GBB Race',British EBF Stallion Studs Maiden Stakes,,,,Class 4,Maiden,2yo,5f3yds,,,Good,,,,1,1,,,,10,,,Chairmanfourtimes,IRE,5/2,2,,,,,Adrian Paul Keatley,Oisin McSweeney,b,c,,,Dragon Pulse,11,1m 3.04s,,,"Raced wide, took keen hold, in touch with leaders, hung left and headway to lead over 1f out, soon ridden, ran on final 110yds, eased towards finish (op 11/4 tchd 9/4)"
46,Pontefract,,2025/07/27,British EBF Stallion Studs Maiden Stakes (GBB Race),,'GBB Race',British EBF Stallion Studs Maiden Stakes,,,,Class 4,Maiden,2yo,5f3yds,,,Good,,,,2,2,,,,8,2,,Valor Spirit,IRE,13/2,2,,,,,Richard Fahey,Oisin Orr,b,c,,,Dandy Man,11,,,,"Dwelt start, hampered start, in rear, headway on outer over 1f out, went second inside final 110yds, kept on (jockey said colt suffered interference leaving stalls) (tchd 11/2)"
46,Pontefract,,2025/07/27,British EBF Stallion Studs Maiden Stakes (GBB Race),,'GBB Race',British EBF Stallion Studs Maiden Stakes,,,,Class 4,Maiden,2yo,5f3yds,,,Good,,,,3,3,,,,4,½,2½,Cloudbuster,GB,7/2,2,,,,,Dr Richard Newland & Jamie Insole,Tom Marquand,b,f,,,Dansili,11,,,,"Disputed lead, no extra inside final 110yds (tchd 4/1)"
46,Pontefract,,2025/07/27,British EBF Stallion Studs Maiden Stakes (GBB Race),,'GBB Race',British EBF Stallion Studs Maiden Stakes,,,,Class 4,Maiden,2yo,5f3yds,,,Good,,,,4,4,,,,7,nk,2¾,Dabbling,IRE,12/1,2,,,,,Ollie Pears,Cam Hardie,b,f,,,Ardad,11,,,,"Hampered start, soon prominent, no extra final 110yds (op 9/1 tchd 17/2)"
46,Pontefract,,2025/07/27,British EBF Stallion Studs Maiden Stakes (GBB Race),,'GBB Race',British EBF Stallion Studs Maiden Stakes,,,,Class 4,Maiden,2yo,5f3yds,,,Good,,,,5,5,,,,1,nse,2¾,Pull The Rug,IRE,9/4F,2,,,,,Edward Bethell,Callum Rodriguez,b,f,,,Canford Cliffs,11,,,,"Took keen hold, disputed lead on inner, briefly led over 1f out, no extra final 110yds (op 3/1)"
46,Pontefract,,2025/07/27,British EBF Stallion Studs Maiden Stakes (GBB Race),,'GBB Race',British EBF Stallion Studs Maiden Stakes,,,,Class 4,Maiden,2yo,5f3yds,,,Good,,,,6,6,,,,2,3½,6¼,Our Hero Matty,IRE,14/1,2,,,,,Brian Ellison,Ben Robinson,ch,g,,,Gutaifan,11,,,,"Led narrowly or disputed lead, headed over 1f out, weakened inside final furlong (op 12/1)"
46,Pontefract,,2025/07/27,British EBF Stallion Studs Maiden Stakes (GBB Race),,'GBB Race',British EBF Stallion Studs Maiden Stakes,,,,Class 4,Maiden,2yo,5f3yds,,,Good,,,,7,7,,,,3,nk,6¾,Empress Olivia,GB,100/1,2,,,,,Mark Walford,Dougie Costello,b,f,,,Zoffany,11,,,,"Dwelt start, in rear, steady headway against far rail inside final furlong, never near to challenge (op 50/1)"
46,Pontefract,,2025/07/27,British EBF Stallion Studs Maiden Stakes (GBB Race),,'GBB Race',British EBF Stallion Studs Maiden Stakes,,,,Class 4,Maiden,2yo,5f3yds,,,Good,,,,8,8,,,,5,1¾,8½,Resdev Kisses,GB,150/1,2,,,,,Michael & David Easterby,Joanna Mason,b,f,,,Requinto,11,,,,Never better than midfield (op 66/1 tchd 200/1)
46,Pontefract,,2025/07/27,British EBF Stallion Studs Maiden Stakes (GBB Race),,'GBB Race',British EBF Stallion Studs Maiden Stakes,,,,Class 4,Maiden,2yo,5f3yds,,,Good,,,,9,9,,,,9,½,9,Enjoy The Night,IRE,33/1,2,,,,,John & Sean Quinn,Jason Hart,b,c,,,Rip Van Winkle,11,,,,"Ducked sharply left start, pulled hard, towards rear throughout (op 18/1)"
46,Pontefract,,2025/07/27,British EBF Stallion Studs Maiden Stakes (GBB Race),,'GBB Race',British EBF Stallion Studs Maiden Stakes,,,,Class 4,Maiden,2yo,5f3yds,,,Good,,,,10,10,,,,11,nk,9¼,Whiskey Neat,IRE,40/1,2,,,,,Patrick Owens,Jim Crowley,b,c,,,Kyllachy,11,,,,Always behind (op 33/1 tchd 50/1)
